date,year,month,day,cluster_i,cluster_j,node_index
1995-08-30,1995,8,30,3,2,6
1995-08-31,1995,8,31,1,2,4
1996-06-01,1996,6,1,1,2,4
1996-06-02,1996,6,2,1,2,4
1996-06-03,1996,6,3,1,2,4
1996-06-04,1996,6,4,1,2,4
1996-06-05,1996,6,5,1,2,4
1996-06-06,1996,6,6,1,2,4
1996-06-07,1996,6,7,1,2,4
1996-06-08,1996,6,8,1,2,4
1996-06-09,1996,6,9,1,2,4
1996-06-10,1996,6,10,1,2,4
1996-06-11,1996,6,11,1,2,4
1996-06-12,1996,6,12,1,2,4
1996-06-13,1996,6,13,1,2,4
1996-06-14,1996,6,14,1,2,4
1996-06-15,1996,6,15,1,2,4
1996-06-16,1996,6,16,1,2,4
1996-06-17,1996,6,17,1,2,4
1996-06-18,1996,6,18,1,2,4
1996-06-19,1996,6,19,1,2,4
1996-06-20,1996,6,20,1,1,1
1996-06-21,1996,6,21,1,1,1
1996-06-22,1996,6,22,1,3,7
1996-06-23,1996,6,23,1,3,7
1996-06-24,1996,6,24,1,3,7
1996-06-25,1996,6,25,1,3,7
1996-06-26,1996,6,26,1,3,7
1996-06-27,1996,6,27,1,3,7
1996-06-28,1996,6,28,1,2,4
1996-06-29,1996,6,29,1,2,4
1996-06-30,1996,6,30,1,2,4
1996-07-01,1996,7,1,1,2,4
1996-07-02,1996,7,2,1,2,4
1996-07-03,1996,7,3,1,2,4
1996-07-04,1996,7,4,1,2,4
1996-07-05,1996,7,5,1,2,4
1996-07-06,1996,7,6,1,2,4
1996-07-07,1996,7,7,1,2,4
1996-07-08,1996,7,8,1,2,4
1996-07-09,1996,7,9,1,2,4
1996-07-10,1996,7,10,1,2,4
1996-07-11,1996,7,11,1,2,4
1996-07-12,1996,7,12,1,2,4
1996-07-13,1996,7,13,1,2,4
1996-07-14,1996,7,14,1,2,4
1996-07-15,1996,7,15,1,2,4
1996-07-16,1996,7,16,3,1,3
1996-07-17,1996,7,17,3,1,3
1996-07-18,1996,7,18,1,3,7
1996-07-19,1996,7,19,3,3,9
1996-07-20,1996,7,20,2,3,8
1996-07-21,1996,7,21,3,3,9
1996-07-22,1996,7,22,3,3,9
1996-07-23,1996,7,23,3,3,9
1996-07-24,1996,7,24,3,3,9
1996-07-25,1996,7,25,3,2,6
1996-07-26,1996,7,26,3,2,6
1996-07-27,1996,7,27,3,3,9
1996-07-28,1996,7,28,3,3,9
1996-07-29,1996,7,29,3,2,6
1996-07-30,1996,7,30,3,3,9
1996-07-31,1996,7,31,3,3,9
1996-08-01,1996,8,1,3,3,9
1996-08-02,1996,8,2,3,3,9
1996-08-03,1996,8,3,3,3,9
1996-08-04,1996,8,4,3,3,9
1996-08-05,1996,8,5,3,3,9
1996-08-06,1996,8,6,3,3,9
1996-08-07,1996,8,7,3,3,9
1996-08-08,1996,8,8,3,3,9
1996-08-09,1996,8,9,3,3,9
1996-08-10,1996,8,10,3,3,9
1996-08-11,1996,8,11,3,3,9
1996-08-12,1996,8,12,3,3,9
1996-08-13,1996,8,13,3,3,9
1996-08-14,1996,8,14,1,2,4
1996-08-15,1996,8,15,1,2,4
1996-08-16,1996,8,16,1,2,4
1996-08-17,1996,8,17,1,2,4
1996-08-18,1996,8,18,1,2,4
1996-08-19,1996,8,19,1,2,4
1996-08-20,1996,8,20,2,3,8
1996-08-21,1996,8,21,2,3,8
1996-08-22,1996,8,22,2,3,8
1996-08-23,1996,8,23,2,3,8
1996-08-24,1996,8,24,1,2,4
1996-08-25,1996,8,25,1,2,4
1996-08-26,1996,8,26,1,2,4
1996-08-27,1996,8,27,1,2,4
1996-08-28,1996,8,28,2,3,8
1996-08-29,1996,8,29,1,2,4
1996-08-30,1996,8,30,1,2,4
1996-08-31,1996,8,31,1,2,4
1997-06-01,1997,6,1,3,3,9
1997-06-02,1997,6,2,3,3,9
1997-06-03,1997,6,3,3,3,9
1997-06-04,1997,6,4,3,1,3
1997-06-05,1997,6,5,1,3,7
1997-06-06,1997,6,6,1,3,7
1997-06-07,1997,6,7,1,3,7
1997-06-08,1997,6,8,1,3,7
1997-06-09,1997,6,9,1,3,7
1997-06-10,1997,6,10,1,3,7
1997-06-11,1997,6,11,1,1,1
1997-06-12,1997,6,12,3,1,3
1997-06-13,1997,6,13,3,1,3
1997-06-14,1997,6,14,3,1,3
1997-06-15,1997,6,15,3,1,3
1997-06-16,1997,6,16,3,1,3
1997-06-17,1997,6,17,3,2,6
1997-06-18,1997,6,18,3,2,6
1997-06-19,1997,6,19,3,2,6
1997-06-20,1997,6,20,1,3,7
1997-06-21,1997,6,21,2,2,5
1997-06-22,1997,6,22,3,2,6
1997-06-23,1997,6,23,3,2,6
1997-06-24,1997,6,24,3,3,9
1997-06-25,1997,6,25,3,3,9
1997-06-26,1997,6,26,2,2,5
1997-06-27,1997,6,27,2,2,5
1997-06-28,1997,6,28,1,1,1
1997-06-29,1997,6,29,1,1,1
1997-06-30,1997,6,30,2,1,2
